episode,reward,avg50,steps,done_reason,epsilon,loss
510,1304.567,407.767,5385,stuck,0.0278,11.44488
511,491.653,415.636,5245,stuck,0.0276,9.23782
512,527.055,427.883,953,goal,0.0274,7.68657
513,1029.143,431.088,2339,goal,0.0272,16.28129
514,677.753,430.572,1584,goal,0.0270,11.14141
515,796.839,437.810,2549,goal,0.0268,20.10227
516,1047.117,438.306,4492,stuck,0.0267,14.22424
517,297.915,416.891,2161,stuck,0.0265,8.48198
518,473.827,411.230,945,goal,0.0263,10.62982
519,401.903,413.442,775,goal,0.0261,9.74167
520,527.951,425.425,1471,goal,0.0259,7.46102
521,725.485,437.554,1787,goal,0.0257,13.19315
522,699.134,453.243,2726,stuck,0.0256,14.63615
523,594.496,463.740,2131,collision,0.0254,12.52053
524,-5.169,462.696,835,stuck,0.0252,9.62274
525,636.981,464.241,5124,stuck,0.0250,14.02957
526,919.275,470.978,2187,goal,0.0248,10.61357
527,758.288,487.142,1790,goal,0.0247,12.41419
528,1671.326,501.416,4105,goal,0.0245,10.26655
